Event_Date,Event_Type,Description,Sector,Score_At_Event,Score_1M_Later,Directional_Shift
2022-05-04,RBI Rate Decision,Surprise off-cycle 40 bps Rate Hike (Inflation battle begins),Pharma,3.0,2.25,-0.75
2022-05-04,RBI Rate Decision,Surprise off-cycle 40 bps Rate Hike (Inflation battle begins),Metal,6.5,3.0,-3.5
2022-05-04,RBI Rate Decision,Surprise off-cycle 40 bps Rate Hike (Inflation battle begins),Realty,4.25,4.5,0.25
2022-09-30,RBI Rate Decision,Aggressive 50 bps Hike to combat soaring CPI,IT,1.0,1.25,0.25
2022-09-30,RBI Rate Decision,Aggressive 50 bps Hike to combat soaring CPI,Bank,4.5,5.0,0.5
2022-09-30,RBI Rate Decision,Aggressive 50 bps Hike to combat soaring CPI,FMCG,6.25,5.5,-0.75
2022-09-30,RBI Rate Decision,Aggressive 50 bps Hike to combat soaring CPI,Auto,5.75,6.0,0.25
2022-09-30,RBI Rate Decision,Aggressive 50 bps Hike to combat soaring CPI,Pharma,3.0,3.75,0.75
2022-09-30,RBI Rate Decision,Aggressive 50 bps Hike to combat soaring CPI,Metal,4.75,4.5,-0.25
2022-09-30,RBI Rate Decision,Aggressive 50 bps Hike to combat soaring CPI,Realty,2.75,2.0,-0.75
2023-02-01,Union Budget,Focus on infrastructure and green energy spending,IT,3.0,3.5,0.5
2023-02-01,Union Budget,Focus on infrastructure and green energy spending,Bank,4.25,5.0,0.75
2023-02-01,Union Budget,Focus on infrastructure and green energy spending,FMCG,5.75,6.5,0.75
2023-02-01,Union Budget,Focus on infrastructure and green energy spending,Auto,5.25,5.25,0.0
2023-02-01,Union Budget,Focus on infrastructure and green energy spending,Pharma,2.25,2.25,0.0
2023-02-01,Union Budget,Focus on infrastructure and green energy spending,Metal,5.75,3.25,-2.5
2023-02-01,Union Budget,Focus on infrastructure and green energy spending,Realty,1.75,2.25,0.5
2023-02-08,RBI Rate Decision,"25 bps Hike, taking repo rate to 6.50% (Peak of cycle)",IT,3.75,4.0,0.25
2023-02-08,RBI Rate Decision,"25 bps Hike, taking repo rate to 6.50% (Peak of cycle)",Bank,5.5,4.5,-1.0
2023-02-08,RBI Rate Decision,"25 bps Hike, taking repo rate to 6.50% (Peak of cycle)",FMCG,6.5,6.5,0.0
2023-02-08,RBI Rate Decision,"25 bps Hike, taking repo rate to 6.50% (Peak of cycle)",Auto,4.75,5.25,0.5
2023-02-08,RBI Rate Decision,"25 bps Hike, taking repo rate to 6.50% (Peak of cycle)",Pharma,2.75,3.0,0.25
2023-02-08,RBI Rate Decision,"25 bps Hike, taking repo rate to 6.50% (Peak of cycle)",Metal,3.75,2.0,-1.75
2023-02-08,RBI Rate Decision,"25 bps Hike, taking repo rate to 6.50% (Peak of cycle)",Realty,1.0,2.75,1.75
2024-02-01,Union Budget,Interim Budget focusing on fiscal consolidation,IT,3.25,3.0,-0.25
2024-02-01,Union Budget,Interim Budget focusing on fiscal consolidation,Bank,1.25,1.5,0.25
2024-02-01,Union Budget,Interim Budget focusing on fiscal consolidation,FMCG,2.75,1.5,-1.25
2024-02-01,Union Budget,Interim Budget focusing on fiscal consolidation,Auto,5.25,6.0,0.75
2024-02-01,Union Budget,Interim Budget focusing on fiscal consolidation,Pharma,5.25,4.5,-0.75
2024-02-01,Union Budget,Interim Budget focusing on fiscal consolidation,Metal,3.25,4.5,1.25
2024-02-01,Union Budget,Interim Budget focusing on fiscal consolidation,Realty,7.0,7.0,0.0
2025-01-31,Union Budget,Rural development and manufacturing incentives push,IT,6.0,3.25,-2.75
2025-01-31,Union Budget,Rural development and manufacturing incentives push,Bank,3.75,5.75,2.0
2025-01-31,Union Budget,Rural development and manufacturing incentives push,FMCG,2.25,2.75,0.5
2025-01-31,Union Budget,Rural development and manufacturing incentives push,Auto,5.0,3.25,-1.75
2025-01-31,Union Budget,Rural development and manufacturing incentives push,Pharma,6.25,5.25,-1.0
2025-01-31,Union Budget,Rural development and manufacturing incentives push,Metal,3.0,6.75,3.75
2025-01-31,Union Budget,Rural development and manufacturing incentives push,Realty,1.75,1.0,-0.75
2026-02-02,Union Budget,Digital economy framework and infrastructure allocations,IT,3.25,1.0,-2.25
2026-02-02,Union Budget,Digital economy framework and infrastructure allocations,Bank,5.25,5.25,0.0
2026-02-02,Union Budget,Digital economy framework and infrastructure allocations,FMCG,2.5,3.0,0.5
2026-02-02,Union Budget,Digital economy framework and infrastructure allocations,Auto,5.0,5.25,0.25
2026-02-02,Union Budget,Digital economy framework and infrastructure allocations,Pharma,3.5,4.5,1.0
2026-02-02,Union Budget,Digital economy framework and infrastructure allocations,Metal,7.0,7.0,0.0
2026-02-02,Union Budget,Digital economy framework and infrastructure allocations,Realty,1.5,2.0,0.5
